"elev" "smi" "dbh" "tht" "cr" "ba" "dg" "hg"
"40" 3493 4.8 5.7 26.5 6 36.1 1.4 6.5
"41" 3493 4.8 4.8 19.3 6 36.1 1.3 6
"42" 4330 3.2 2.3 13.7 5 140.9 0.6 6.2
"43" 4330 3.2 2 14.7 3 140.9 0.5 4.8
"44" 4330 3.2 3.2 14.3 7 140.9 0.7 4.2
"45" 4330 3.2 2.8 16.1 6 52.3 1.6 9.1
"46" 4330 3.2 2.7 14.8 5 52.3 0.7 2.7
"47" 4330 3.2 2.4 15 5 52.3 1 4.7
"48" 4330 3.2 2.9 15.2 6 52.3 1.6 7.3
"49" 4330 3.2 4.5 19.8 6 52.3 1.3 6.2
"50" 4330 3.2 2.3 13.2 5 52.3 0.9 6.4
"51" 4330 3.2 2.1 12.2 4 52.3 0.8 6
"52" 4330 3.2 3.4 18 6 52.3 1.1 7.9
"53" 4330 3.2 4.2 18.3 8 37.5 1.8 6
"54" 4330 3.2 1.3 8 6 37.5 1.1 3.8
"55" 4330 3.2 2.6 15 5 37.5 1.1 4.3
"56" 4330 3.2 3.3 18.9 4 37.5 1.8 6.8
"57" 4330 3.2 1.7 9.7 2 37.5 1.2 3.7
"58" 4330 3.2 1.9 11.7 2 37.5 1.4 3.2
"59" 4330 3.2 2.6 13.3 7 37.5 1.5 4.8
"60" 4330 3.2 3.2 16.5 7 37.5 1.9 5.5
"61" 4330 3.2 3 13.4 6 37.5 1.4 4
"62" 4330 3.2 3 16.9 5 37.5 1.1 6.6
"63" 4330 3.2 3.4 16.2 4 25.1 1.5 8.1
"64" 4330 3.2 4.4 17.4 6 25.1 1.7 7.7
"65" 4330 3.2 4 20.3 5 25.1 2.1 7.1
"66" 4330 3.2 4.3 18.6 6 25.1 1.4 6.9
"67" 4330 3.2 3.5 17.3 4 25.1 0.8 3.4
"68" 4330 3.2 3.6 19.7 4 25.1 2.3 7.1
"69" 4330 3.2 1.1 9 4 25.1 0.6 3.8
"70" 4330 3.2 3.6 17.7 6 25.1 2.7 8.2
"71" 4330 3.2 3.3 18.9 6 25.1 1.8 8.4
"72" 4330 3.2 4 21.9 5 16.2 1.9 7.5
"73" 4330 3.2 7.9 23.5 7 16.2 2.4 6
"74" 4330 3.2 3.6 17.5 6 16.2 1.6 5.2
"75" 4330 3.2 4.3 20.9 6 16.2 2.1 6.4
"76" 4330 3.2 3.3 13 7 16.2 2 5.5
"77" 4330 3.2 2.8 12.2 7 16.2 2.1 5.8
"78" 4330 3.2 3.1 15.3 4 16.2 1.4 5.1
"79" 4330 3.2 2.3 15.8 3 16.2 1.5 3.6
"80" 4330 3.2 5.1 22.6 7 16.2 1.6 5.5
"81" 1704 13.2 2.5 11.8 8 50.6 0.9 3.6
"82" 1704 13.2 1.9 10.5 8 50.6 0.5 3.3
"83" 1704 13.2 3.2 14.4 7 50.6 0.8 3.4
"84" 1704 13.2 2.2 10.6 7 50.6 0.9 3.8
"85" 1704 13.2 1.8 11.2 4 50.6 0.4 4.2
"86" 1704 13.2 4.3 17.8 7 50.6 0.5 4.8
"87" 1704 13.2 2.2 12.1 6 50.6 0.6 3.2
"88" 1704 13.2 2.7 11.5 8 50.6 0.8 3.8
"89" 1704 13.2 2.2 12.7 7 50.6 0.7 4.2
"90" 1704 13.2 2.7 14.4 5 50.6 0.4 3.7
"91" 1704 13.2 2.5 13 8 50.6 0.8 4
"92" 1704 13.2 2.7 13.2 7 50.6 0.6 4.2
"93" 1704 13.2 4 15.7 6 50.6 0.8 3.1
"94" 1704 13.2 3.1 13.7 8 36 1.2 6.7
"95" 1704 13.2 1.6 10.8 6 36 0.7 3.9
"96" 1704 13.2 1.6 10 7 36 1.1 5
"97" 1704 13.2 1.5 11.4 5 36 0.7 3.7
"98" 1704 13.2 1.9 10 6 36 0.9 3.9
"99" 1704 13.2 0.9 7.5 7 34.1 0.9 3.7
"100" 1704 13.2 1.4 7.9 7 34.1 0.7 3.6
"101" 1704 13.2 2.6 13.5 6 34.1 0.9 3.5
"102" 1704 13.2 3.1 13.8 7 34.1 0.9 4.1
"103" 1704 13.2 1.2 9.1 5 34.1 0.3 2.8
"104" 1704 13.2 1.6 10.2 5 34.1 0.4 2.9
"105" 1704 13.2 2.5 15.2 6 34.1 1 3.1
"106" 1704 13.2 2.6 13.8 6 34.1 0.7 3.3
"107" 1704 13.2 1.8 10.6 7 34.1 0.6 3.2
"108" 1704 13.2 2.3 12.4 8 34.1 1 2.5
"109" 1704 13.2 2.5 12.7 7 21.5 1.5 6.2
"110" 1704 13.2 1.9 10.6 6 21.5 1.9 6
"111" 1704 13.2 4 15.8 6 21.5 1 4.6
"112" 1704 13.2 3.2 13.9 8 21.5 1.7 5
"113" 1704 13.2 2.7 13.2 6 21.5 1 3.2
"114" 1704 13.2 3.5 14.6 9 14.6 1.9 6.6
"115" 1704 13.2 1.6 10 6 14.6 1 3.5
"116" 1704 13.2 2.7 15.1 6 14.6 1.3 5.3
"117" 1704 13.2 3.8 19 7 14.6 1.7 4.5
"118" 1704 13.2 2.3 12.4 6 14.6 1.7 4.3
"119" 1704 13.2 2.3 11.9 7 14.6 1.8 5.7
"120" 1704 13.2 3.9 19.5 6 14.6 1.6 5
"121" 1704 13.2 3.6 18.5 7 14.6 1.8 6.4
"122" 1704 13.2 2.3 11.1 6 14.6 1.9 5.9
"123" 2543 8.6 4.1 26.6 4 122.3 0.2 4.6
"124" 2543 8.6 4.5 27.2 4 122.3 0.3 4.5
"125" 2543 8.6 5.2 29.8 5 122.3 0.3 4.1
"126" 2543 8.6 5.3 30.2 6 122.3 0.8 3.4
"127" 2543 8.6 5 27 6 122.3 0.5 3.8
"128" 2543 8.6 2.7 23 3 122.3 0.1 3.4
"129" 2543 8.6 4.1 25.9 6 105.6 0.6 5
"130" 2543 8.6 3.9 26.3 5 105.6 0.2 4.4
"131" 2543 8.6 4.5 27.5 4 105.6 0.5 3.5
"132" 2543 8.6 3 25.2 3 105.6 0.3 7.9
"133" 2543 8.6 4.7 25.1 6 105.6 0.2 5
"134" 2543 8.6 1.3 12.8 8 105.6 0.7 3.4
"135" 2543 8.6 4.4 31.8 5 105.6 0.1 6.7
"136" 2543 8.6 5.4 31.5 5 105.6 0.7 7
"137" 2543 8.6 4.4 28.4 5 105.6 0.4 5.1
"138" 2543 8.6 4.1 25.8 5 72 0.4 4
"139" 2543 8.6 4.1 26 4 72 0.8 3.2
"140" 2543 8.6 3.3 19.5 4 72 0.4 5.8
"141" 2543 8.6 4.1 27.3 4 72 1.1 3.9
"142" 2543 8.6 3.2 23.6 4 72 0.6 4.2
"143" 2543 8.6 3.7 26 4 72 0.8 4.3
"144" 2543 8.6 4.1 24.4 4 72 0.9 4.4
"145" 2543 8.6 5.2 26.4 5 72 0.7 5.8
"146" 2543 8.6 2.4 14.7 4 38.7 0.3 0.3
"147" 2543 8.6 2.5 14.6 5 38.7 0.5 3.2
"148" 2543 8.6 3.6 23.5 4 38.7 1.3 5.1
"149" 2543 8.6 3.8 26.2 3 38.7 1 4
"150" 2543 8.6 2.1 17.1 4 38.7 0.3 1.3
"151" 2543 8.6 5.9 28.3 4 38.7 1.4 4.7
"152" 2543 8.6 3.7 23.3 4 38.7 0.6 3.3
"153" 2543 8.6 3.8 23 5 38.7 1 4
"154" 2543 8.6 2.7 19.2 4 38.7 0.6 3.1
"155" 2543 8.6 4.2 25.3 4 38.7 1.2 3
"156" 2543 8.6 4 24 4 38.7 0.7 1.4
"157" 2543 8.6 2.9 18.5 3 23 1.1 2
"158" 2543 8.6 4.7 23.7 4 23 1.2 2.6
"159" 2543 8.6 4.7 26.7 4 23 2.1 7.8
"160" 2543 8.6 3.8 22.8 3 23 1.6 3.8
"161" 2543 8.6 4 22.6 3 23 0.8 4.6
"162" 2543 8.6 2.5 15.8 4 23 0.7 2.5
"163" 2543 8.6 3.1 18.2 5 23 1.5 3.3
"164" 2543 8.6 4 24.3 4 23 0.8 4.5
"165" 2543 8.6 5.6 26.9 6 23 1.4 6.5
"166" 2543 8.6 3.3 20.7 5 23 0.8 1.9
